gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds
4247263043,0,24081,1190,44,8.8,309,74,0,8,14,14,29,8,0,0,0,0,0,0,0,0,0,0,1,30099,6073,48,9.6,366,76,0,14,8,34,31,12,1,0,2,1,0,1,0,1,2,1
4247155821,1,24162,2212,46,9.2,393,64,0,5,6,5,31,6,0,0,0,0,0,0,0,0,0,1,0,26015,3900,48,9.6,394,89,0,6,5,5,26,11,1,0,1,0,1,0,0,0,0,0
4243963257,0,22413,1563,41,8.2,300,62,0,5,20,8,28,7,0,0,0,0,0,0,0,0,0,0,1,34296,5496,50,10,388,85,0,20,5,20,39,9,1,0,4,2,1,1,0,1,2,1
4241678498,0,23837,3197,46,9.2,370,96,0,6,13,9,108,9,0,0,0,0,0,0,0,1,1,0,1,27824,5223,48,9.6,405,72,0,13,6,24,26,13,1,0,1,0,1,0,0,0,0,1
4241538868,1,27688,3663,44,8.8,381,66,0,9,10,10,36,11,0,0,1,0,1,0,0,1,1,1,0,25826,2909,47,9.4,329,87,0,10,9,17,41,9,1,0,2,1,0,1,0,0,0,0
4241394461,1,28396,3293,45,9,357,86,0,12,12,15,147,11,1,0,2,0,2,0,0,0,0,1,0,27282,4047,47,9.4,369,76,0,12,12,22,45,7,0,0,1,0,0,1,0,1,1,0
4233222221,0,24187,3547,43,8.6,345,80,0,5,8,6,31,9,1,0,1,0,0,1,0,0,0,1,1,24944,4066,45,9,378,85,0,8,5,9,39,12,0,0,0,0,0,0,0,1,2,0
4233113995,1,29686,3926,46,9.2,386,85,0,14,12,23,44,15,1,0,1,0,0,1,0,0,1,0,0,27695,2497,44,8.8,342,79,0,12,14,13,190,9,0,0,1,0,1,0,0,1,1,1
4231100932,1,27722,3897,46,9.2,433,73,0,9,11,12,62,27,0,0,0,0,0,0,0,0,1,1,0,25970,4350,47,9.4,382,86,0,11,9,10,45,15,0,0,0,0,0,0,0,1,1,0
4229230455,1,29116,7604,51,10.2,383,84,0,14,9,21,31,13,1,0,1,0,0,1,0,1,1,1,0,25939,4004,47,9.4,377,76,0,9,14,8,33,11,0,0,0,0,0,0,0,0,0,0
4229039003,0,4918,2918,12,2.4,38,12,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,4834,2334,13,2.6,48,20,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
4228952659,1,33405,6080,51,10.2,421,109,0,16,6,13,30,9,1,0,3,1,1,1,0,1,1,1,0,22355,3560,43,8.6,342,76,0,6,16,4,22,7,0,0,1,0,1,0,0,0,0,0
4228244819,1,27930,6645,47,9.4,372,91,0,9,5,13,44,7,0,0,2,1,0,1,0,1,2,0,0,25526,3581,46,9.2,371,76,0,5,9,3,39,8,1,0,2,0,2,0,0,0,0,1
4227123625,0,25659,1909,45,9,421,109,0,3,11,5,38,20,1,0,1,0,1,0,0,0,0,1,1,25190,2780,47,9.4,371,69,0,11,3,27,196,13,0,0,1,0,1,0,0,1,1,0
4222795586,1,27320,2780,49,9.8,400,67,0,14,13,15,29,7,0,0,0,0,0,0,0,0,1,0,0,27022,2062,47,9.4,351,96,0,13,14,16,24,7,0,0,0,0,0,0,0,1,1,1
4222632382,0,24918,3043,45,9,372,72,0,7,12,10,32,10,0,0,1,0,0,1,0,0,0,0,1,27546,1526,47,9.4,378,93,0,12,7,18,41,10,1,0,1,0,1,0,0,1,2,1
4219736584,0,27083,4618,47,9.4,370,87,0,10,11,12,28,17,1,0,2,0,1,1,0,1,1,0,1,25647,2847,46,9.2,354,81,0,11,10,10,33,5,0,0,0,0,0,0,0,0,1,1
4219647531,1,30990,1876,50,10,367,127,0,15,5,28,92,8,1,0,2,1,0,1,0,1,2,1,0,23921,2136,44,8.8,394,76,0,5,15,8,29,9,0,0,0,0,0,0,0,0,0,0
4219545724,0,26229,3261,47,9.4,441,82,0,5,9,6,27,4,1,0,1,0,1,0,0,0,0,1,1,24481,1881,47,9.4,375,77,0,9,5,12,36,11,0,0,0,0,0,0,0,1,1,0
4219463634,1,27146,3026,48,9.6,373,102,0,12,6,18,28,10,0,0,0,0,0,0,0,1,1,0,0,25288,4633,43,8.6,357,77,0,6,12,7,87,7,1,0,1,0,1,0,0,0,0,1
4217069365,1,25590,3665,46,9.2,396,103,0,6,4,10,98,10,0,0,0,0,0,0,0,1,2,1,0,22916,2142,44,8.8,377,72,0,4,6,9,34,12,1,0,1,0,0,1,0,0,0,0
